# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
1.500000000000000000e+05,1.800000000000000000e+03,7.969081043781960943e+03,-4.306203447673477847e+00,6.765009220979088695e+02
1.500000000000000000e+05,1.840000000000000000e+03,7.953196608689265304e+03,-4.297944643953735877e+00,6.858611333745553793e+02
1.500000000000000000e+05,1.880000000000000000e+03,7.937040737794894994e+03,-4.289736379924855569e+00,6.953520395382862489e+02
1.500000000000000000e+05,1.920000000000000000e+03,7.920611325317726369e+03,-4.281578050619393672e+00,7.049724606642279241e+02
1.500000000000000000e+05,1.960000000000000000e+03,7.903906298050932492e+03,-4.273468951914424885e+00,7.147215514898039146e+02
1.500000000000000000e+05,2.000000000000000000e+03,7.886923610988564178e+03,-4.265408239594370876e+00,7.245987864672738397e+02
1.500000000000000000e+05,2.040000000000000000e+03,7.869661243075616767e+03,-4.257394991325382350e+00,7.346039607623530401e+02
1.500000000000000000e+05,2.080000000000000000e+03,7.852117192657811756e+03,-4.249428077580433616e+00,7.447372019411938027e+02
1.500000000000000000e+05,2.120000000000000000e+03,7.834288997832189125e+03,-4.241501462913075393e+00,7.550004268208936082e+02
1.500000000000000000e+05,2.160000000000000000e+03,7.816176477987547514e+03,-4.233621313106156414e+00,7.653921096112526357e+02
1.500000000000000000e+05,2.200000000000000000e+03,7.797775128208993920e+03,-4.225793466941664356e+00,7.759109731416284603e+02
