# P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s
1.0,  1400.0,  3.39015,  -4.37066,  1236.35107,  0.0,  0.0,  65.3452,  8.6305,  0.0,  0.0,  0.0,  0.0,  0.0,  0.24729,  0.01503,  17.41324,  0.83157,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.09988,  0.31322,  0.00783,  1.09625,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1505.0,  3.37422,  -4.35557,  1249.51028,  0.0,  0.0,  65.31565,  8.5395,  0.0,  0.0,  0.0,  0.0,  0.0,  0.18739,  0.01117,  17.56286,  0.866,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.81817,  0.32889,  0.02349,  1.34687,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1610.0,  3.35792,  -4.33976,  1263.29228,  0.0,  0.0,  65.3328,  8.43213,  0.0,  0.0,  0.0,  0.0,  0.0,  0.14037,  0.0082,  17.65679,  0.90895,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.59356,  0.3447,  0.03917,  1.54332,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1715.0,  3.3412,  -4.32309,  1277.98438,  0.0,  0.0,  65.3287,  8.3676,  0.0,  0.0,  0.0,  0.0,  0.0,  0.10238,  0.00598,  17.73465,  0.93439,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.41737,  0.3528,  0.05488,  1.70126,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1820.0,  3.32397,  -4.30531,  1293.92886,  0.0,  0.0,  65.3719,  8.28658,  0.0,  0.0,  0.0,  0.0,  0.0,  0.06905,  0.00395,  17.74969,  0.97117,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.26763,  0.3538,  0.08648,  1.83974,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1925.0,  3.30618,  -4.28628,  1311.48257,  0.0,  0.0,  65.42951,  8.22199,  0.0,  0.0,  0.0,  0.0,  0.0,  0.04003,  0.00229,  17.72655,  0.99456,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.12782,  0.36345,  0.13432,  1.95947,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2030.0,  3.28773,  -4.26572,  1331.11678,  0.0,  0.0,  65.48709,  8.1752,  0.0,  0.0,  0.0,  0.0,  0.0,  0.01396,  0.0008,  17.67931,  1.01247,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.00794,  0.36566,  0.19078,  2.06677,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2135.0,  3.26859,  -4.24322,  1353.49655,  0.0,  0.0,  65.58708,  8.13612,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  17.55486,  1.02581,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.9395,  0.36877,  0.26455,  2.12331,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2240.0,  3.24861,  -4.21832,  1379.50884,  0.0,  0.0,  65.72363,  8.10547,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  17.36252,  1.03485,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.93134,  0.37248,  0.34819,  2.12153,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2345.0,  3.22753,  -4.19034,  1410.43774,  0.0,  0.0,  65.88151,  8.0775,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  17.13136,  1.04113,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.92133,  0.37703,  0.4508,  2.11934,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
