# P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s
1.0,  1400.0,  3.51501,  -4.37003,  1218.8651,  0.0,  0.0,  69.43529,  12.75691,  0.0,  0.0,  0.0,  0.0,  0.0,  1.02723,  0.08079,  11.93979,  0.72988,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  3.21569,  0.2099,  0.0042,  0.60032,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1505.0,  3.49866,  -4.35461,  1232.34473,  0.0,  0.0,  69.46171,  12.65933,  0.0,  0.0,  0.0,  0.0,  0.0,  0.99676,  0.07719,  11.99923,  0.77157,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  3.06768,  0.22272,  0.01261,  0.7312,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1610.0,  3.48186,  -4.33844,  1246.52028,  0.0,  0.0,  69.49902,  12.56624,  0.0,  0.0,  0.0,  0.0,  0.0,  0.97112,  0.0752,  12.04021,  0.80912,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.94516,  0.23561,  0.02104,  0.83727,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1715.0,  3.46457,  -4.32133,  1261.70336,  0.0,  0.0,  69.5452,  12.48153,  0.0,  0.0,  0.0,  0.0,  0.0,  0.95124,  0.07252,  12.05424,  0.84662,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.84671,  0.24461,  0.03374,  0.9236,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1820.0,  3.44671,  -4.30308,  1278.23068,  0.0,  0.0,  69.58716,  12.41305,  0.0,  0.0,  0.0,  0.0,  0.0,  0.93292,  0.07112,  12.05735,  0.87567,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.7635,  0.24969,  0.05078,  0.99875,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1925.0,  3.4282,  -4.28348,  1296.50818,  0.0,  0.0,  69.63503,  12.35072,  0.0,  0.0,  0.0,  0.0,  0.0,  0.91721,  0.06992,  12.04221,  0.9035,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.69543,  0.25084,  0.07227,  1.06287,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2030.0,  3.40896,  -4.26224,  1317.03924,  0.0,  0.0,  69.69127,  12.29846,  0.0,  0.0,  0.0,  0.0,  0.0,  0.90242,  0.06879,  12.00315,  0.92288,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.62634,  0.25706,  0.10711,  1.12251,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2135.0,  3.38886,  -4.23899,  1340.5086,  0.0,  0.0,  69.74919,  12.25439,  0.0,  0.0,  0.0,  0.0,  0.0,  0.88912,  0.06778,  11.94998,  0.93989,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.5676,  0.25935,  0.14697,  1.17574,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2240.0,  3.36775,  -4.21315,  1367.90498,  0.0,  0.0,  69.83648,  12.19762,  0.0,  0.0,  0.0,  0.0,  0.0,  0.87555,  0.06675,  11.86173,  0.96176,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.50695,  0.26251,  0.20126,  1.22941,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2345.0,  3.34542,  -4.18397,  1400.69852,  0.0,  0.0,  69.93919,  12.14103,  0.0,  0.0,  0.0,  0.0,  0.0,  0.86236,  0.06642,  11.74867,  0.98127,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.45011,  0.26632,  0.26632,  1.27832,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
