#P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s, bad
1.0,1400.0,3.1832599999999998,-4.39277,1218.93093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351369999999999,0.0,0.0,38.11455,5.75831,0.0,0.0,0.0,0.0,6.31096,34.838190000000004,7.28062,1.56225,0.0,0.57802,0.08164,0.08409,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1490.0,3.17594,-4.36771,1229.78323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70569,0.0,0.0,37.55362,5.67357,0.0,0.0,0.0,0.0,7.6563,34.75671,7.40618,2.2479299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1580.0,3.17199,-4.33791,1242.20121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6202400000000003,0.0,0.0,36.610640000000004,5.5311,0.0,0.0,0.0,0.0,8.74175,34.61424,7.54865,3.3333800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1670.0,3.16953,-4.30312,1256.75054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1964900000000003,0.0,0.0,35.37375,5.34424,0.0,0.0,0.0,0.0,10.1655,34.42738,7.735519999999999,4.75713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1760.0,3.16984,-4.26096,1274.74815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21408000000000002,0.0,0.0,33.69188,5.04369,0.0,0.0,0.0,0.0,12.147910000000001,34.12683,8.03606,6.739539999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1850.0,3.15518,-4.22647,1293.2726300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.44676,5.07474,0.0,0.0,0.0,0.0,12.361989999999999,34.15788,8.00501,6.95362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1940.0,3.13761,-4.18854,1315.48458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38272,5.138780000000001,0.0,0.0,0.0,0.0,12.361989999999999,34.221920000000004,7.94097,6.95362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2030.0,3.11839,-4.14358,1343.96758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.305040000000005,5.21645,0.0,0.0,0.0,0.0,12.361989999999999,34.29959,7.8633,6.95362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2120.0,3.0969599999999997,-4.08769,1383.1326199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25464,5.266859999999999,0.0,0.0,0.0,0.0,12.361989999999999,34.35,7.8128899999999994,6.95362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2210.0,3.07223,-4.01093,1444.83736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.18466,5.33683,0.0,0.0,0.0,0.0,12.361989999999999,34.41997,7.74292,6.95362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
