# P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s
1.0,  1400.0,  3.47347,  -4.36896,  1207.98906,  0.0,  0.0,  63.31798,  13.41795,  0.0,  0.0,  0.0,  0.0,  0.0,  0.29576,  0.02543,  14.06642,  0.95445,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.27159,  0.45387,  0.00825,  1.1883,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1505.0,  3.45702,  -4.35376,  1220.98193,  0.0,  0.0,  63.35513,  13.25252,  0.0,  0.0,  0.0,  0.0,  0.0,  0.23568,  0.02026,  14.20023,  1.0143,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.96616,  0.48687,  0.02476,  1.44409,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1610.0,  3.44019,  -4.33779,  1234.62952,  0.0,  0.0,  63.3979,  13.10988,  0.0,  0.0,  0.0,  0.0,  0.0,  0.18728,  0.01587,  14.29209,  1.07231,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.72889,  0.50355,  0.04127,  1.65098,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1715.0,  3.42295,  -4.32093,  1249.22203,  0.0,  0.0,  63.43693,  13.00378,  0.0,  0.0,  0.0,  0.0,  0.0,  0.14768,  0.01252,  14.35029,  1.1113,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.53145,  0.5209,  0.06615,  1.81901,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1820.0,  3.40517,  -4.30294,  1265.09427,  0.0,  0.0,  63.50486,  12.89196,  0.0,  0.0,  0.0,  0.0,  0.0,  0.11322,  0.00959,  14.36418,  1.15674,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.36433,  0.53063,  0.09949,  1.96499,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1925.0,  3.38683,  -4.28362,  1282.6236,  0.0,  0.0,  63.57493,  12.81047,  0.0,  0.0,  0.0,  0.0,  0.0,  0.08329,  0.00706,  14.34046,  1.18547,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.21558,  0.54155,  0.14997,  2.09123,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2030.0,  3.36779,  -4.26268,  1302.31136,  0.0,  0.0,  63.66461,  12.73292,  0.0,  0.0,  0.0,  0.0,  0.0,  0.05832,  0.00494,  14.27658,  1.21575,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  5.09635,  0.54484,  0.20955,  2.19613,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2135.0,  3.34794,  -4.23978,  1324.78407,  0.0,  0.0,  63.77414,  12.65929,  0.0,  0.0,  0.0,  0.0,  0.0,  0.03384,  0.00287,  14.17968,  1.23789,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.96878,  0.55772,  0.28731,  2.29848,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2240.0,  3.32714,  -4.21434,  1351.00945,  0.0,  0.0,  63.91091,  12.59252,  0.0,  0.0,  0.0,  0.0,  0.0,  0.00911,  0.00077,  14.02554,  1.25768,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.84517,  0.56399,  0.39308,  2.40122,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2345.0,  3.30528,  -4.18553,  1382.45421,  0.0,  0.0,  64.08823,  12.53851,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  13.79272,  1.271,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.79042,  0.57128,  0.51069,  2.43714,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
