#P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s, bad
1.0,1400.0,3.32977,-4.39701,1165.99337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13269,0.0,0.0,48.84454,16.728479999999998,0.0,0.0,0.0,0.0,8.887080000000001,13.05152,8.48179,0.8739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1490.0,3.32171,-4.37531,1176.06764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67728,0.0,0.0,48.44083,16.67677,0.0,0.0,0.0,0.0,9.3425,12.9998,8.5335,1.32932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1580.0,3.3144199999999997,-4.35084,1187.1162800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0554099999999997,0.0,0.0,47.92641,16.56932,0.0,0.0,0.0,0.0,9.964369999999999,12.89235,8.64096,1.95118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1670.0,3.3086300000000004,-4.32233,1199.72595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16077,0.0,0.0,47.23706,16.36403,0.0,0.0,0.0,0.0,10.859010000000001,12.68707,8.84624,2.8458200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1760.0,3.30395,-4.289,1214.57904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.37495,16.06537,0.0,0.0,0.0,0.0,12.01978,12.38841,9.1449,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1850.0,3.2882,-4.26105,1229.94402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.244859999999996,16.19546,0.0,0.0,0.0,0.0,12.01978,12.51849,9.01481,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1940.0,3.27141,-4.229419999999999,1248.1316199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1346,16.30573,0.0,0.0,0.0,0.0,12.01978,12.62876,8.90455,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2030.0,3.25333,-4.19256,1270.51972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0331,16.407220000000002,0.0,0.0,0.0,0.0,12.01978,12.730260000000001,8.80305,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2120.0,3.2335700000000003,-4.1475599999999995,1299.78656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.915729999999996,16.5246,0.0,0.0,0.0,0.0,12.01978,12.84763,8.68568,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2210.0,3.21144,-4.08724,1342.64746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.78957,16.65075,0.0,0.0,0.0,0.0,12.01978,12.97379,8.55952,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2300.0,3.18486,-3.9593300000000005,1449.28367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.659490000000005,16.780839999999998,0.0,0.0,0.0,0.0,12.01978,13.10387,8.42944,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2390.0,3.18018,-3.97929,1451.10268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.16645,18.27388,0.0,0.0,0.0,0.0,5.0416300000000005,11.04106,5.45062,0.0,0.0,0.0,2.9715599999999998,9.04822,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2480.0,3.18649,-4.1269599999999995,1379.31813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.23664,21.20368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01319,25.5399,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2570.0,3.16372,-4.06706,1444.44485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.23664,21.20368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01319,25.5399,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2660.0,3.13593,-3.92467,1639.28982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.23664,21.20368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01319,25.5399,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2750.0,3.16149,-4.04045,1496.4279999999999,3.69794,1.56135,18.38939,29.195009999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.106669999999999,37.9963,3.05334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2840.0,3.13414,-3.97836,1595.1870099999999,3.85477,1.6357,18.53809,29.04631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.106669999999999,37.76512,3.05334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2930.0,3.15416,-4.07742,1470.42795,6.99787,7.897819999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09529,0.11945,41.476729999999996,0.0,7.7328,12.77408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92378,10.80875,3.1734299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3020.0,3.13092,-4.03407,1529.09571,6.801,7.48557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08891,0.11099,40.38901,0.0,8.40267,13.2235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86084,11.40649,3.23102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3110.0,3.10498,-3.9772,1614.92187,6.52219,6.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08227999999999999,0.10315,39.091809999999995,0.0,9.18166,13.77249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79948,12.18779,3.2871599999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3200.0,3.07619,-3.8977800000000005,1751.76028,6.08076,6.33951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1844,0.0,10.391760000000001,14.864170000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01319,13.119629999999999,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3290.0,3.03608,-3.7228,2137.42643,5.54248,5.6122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3247,0.0,11.52414,15.591479999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01319,14.385229999999998,4.00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3380.0,2.9870900000000002,-3.77299,2046.8202199999998,9.708910000000001,16.1098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3639,0.0,55.34744,0.0,0.0,6.31895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427800000000004,6.1134699999999995,0.0,2.5947400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
