# P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s
1.0,  1400.0,  3.27248,  -4.38058,  1281.21682,  0.0,  0.0,  72.54021,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.25892,  0.0,  15.5774,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  9.16274,  0.0,  0.01107,  1.44966,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1505.0,  3.25734,  -4.36582,  1294.34381,  0.0,  0.0,  72.36116,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.16668,  0.0,  15.86709,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  8.78232,  0.0,  0.02209,  1.80065,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1610.0,  3.2419,  -4.35041,  1307.99308,  0.0,  0.0,  72.23154,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.09115,  0.0,  16.07559,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  8.47033,  0.0,  0.04417,  2.08721,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1715.0,  3.22608,  -4.33421,  1322.44634,  0.0,  0.0,  72.1388,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  1.02631,  0.0,  16.22326,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  8.2019,  0.0,  0.07738,  2.33235,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1820.0,  3.20985,  -4.31706,  1338.00687,  0.0,  0.0,  72.08268,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.97194,  0.0,  16.3105,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.97616,  0.0,  0.12186,  2.53686,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1925.0,  3.19312,  -4.29877,  1355.01906,  0.0,  0.0,  72.06321,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.9279,  0.0,  16.33724,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.79252,  0.0,  0.17786,  2.70126,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2030.0,  3.1758,  -4.27913,  1373.88837,  0.0,  0.0,  72.07559,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.88465,  0.0,  16.31029,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.61122,  0.0,  0.25706,  2.86119,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2135.0,  3.15782,  -4.25785,  1395.14571,  0.0,  0.0,  72.11945,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.84865,  0.0,  16.23114,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.45927,  0.0,  0.34877,  2.99271,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2240.0,  3.13906,  -4.23457,  1419.51396,  0.0,  0.0,  72.20992,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.81218,  0.0,  16.07315,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.30391,  0.0,  0.47708,  3.12376,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2345.0,  3.11939,  -4.20877,  1448.00131,  0.0,  0.0,  72.34917,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.77489,  0.0,  15.83261,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.14366,  0.0,  0.64419,  3.25548,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
