#P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s, bad
1.0,1400.0,3.3377800000000004,-4.39904,1202.76521,0.0,0.0,9.81456,8.48054,0.0,0.0,0.0,0.0,0.0,0.51384,0.09666,64.08319,9.73069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24046,0.8342299999999999,0.01517,1.1906700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1490.0,3.3252599999999997,-4.38565,1212.46911,0.0,0.0,10.34117,7.941560000000001,0.0,0.0,0.0,0.0,0.0,0.47468,0.08721,63.896080000000005,9.98215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010619999999999,0.86416,0.02274,1.37963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1580.0,3.31247,-4.37171,1222.49629,0.0,0.0,10.80143,7.48671,0.0,0.0,0.0,0.0,0.0,0.44086000000000003,0.07971,63.71213,10.19674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8246,0.8799600000000001,0.03793,1.53993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1670.0,3.29944,-4.3571800000000005,1232.99261,0.0,0.0,10.96777,7.34364,0.0,0.0,0.0,0.0,0.0,0.41397,0.07246,63.641830000000006,10.264000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68182,0.88164,0.0608,1.67208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1760.0,3.2859300000000005,-4.3417699999999995,1244.2005,0.0,0.0,11.47963,6.85722,0.0,0.0,0.0,0.0,0.0,0.38855,0.06745,63.40365,10.49235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53901,0.89866,0.08377000000000001,1.78971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1850.0,3.27208,-4.325480000000001,1256.27079,0.0,0.0,11.7974,6.59474,0.0,0.0,0.0,0.0,0.0,0.36578,0.06245,63.2243,10.6143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.419919999999999,0.9023399999999999,0.12235,1.8964299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1940.0,3.25778,-4.30812,1269.45509,0.0,0.0,12.05016,6.39985,0.0,0.0,0.0,0.0,0.0,0.34602,0.058089999999999996,63.0674,10.70646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32338,0.89846,0.16126,1.98891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2030.0,3.24296,-4.2894,1284.08894,0.0,0.0,12.37846,6.16026,0.0,0.0,0.0,0.0,0.0,0.32793,0.05459,62.846940000000004,10.81325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.227040000000001,0.9041399999999999,0.21636999999999998,2.07102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2120.0,3.22761,-4.2691,1300.5394099999999,0.0,0.0,12.57494,6.0834,0.0,0.0,0.0,0.0,0.0,0.31056,0.05082,62.655590000000004,10.84384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14564,0.8961399999999999,0.28831999999999997,2.15075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2210.0,3.2115400000000003,-4.24667,1319.46041,0.0,0.0,12.86256,5.93205,0.0,0.0,0.0,0.0,0.0,0.29188000000000003,0.04735,62.409490000000005,10.90496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05117,0.89676,0.36972,2.23405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
