# P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s
1.0,  1400.0,  3.37804,  -4.374,  1240.47769,  0.0,  0.0,  62.19112,  8.48641,  0.0,  0.0,  0.0,  0.0,  0.0,  0.33485,  0.02114,  22.23799,  1.09367,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.56068,  0.24065,  0.00587,  0.82761,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1505.0,  3.36242,  -4.35884,  1253.59548,  0.0,  0.0,  62.21212,  8.38319,  0.0,  0.0,  0.0,  0.0,  0.0,  0.29146,  0.01805,  22.31976,  1.13727,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.35782,  0.25254,  0.01762,  1.01017,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1610.0,  3.34639,  -4.34297,  1267.31778,  0.0,  0.0,  62.24489,  8.28676,  0.0,  0.0,  0.0,  0.0,  0.0,  0.25629,  0.01558,  22.37584,  1.17768,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.19108,  0.26451,  0.02939,  1.15798,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1715.0,  3.32991,  -4.32624,  1281.93542,  0.0,  0.0,  62.26005,  8.22026,  0.0,  0.0,  0.0,  0.0,  0.0,  0.22657,  0.0135,  22.42466,  1.20616,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  4.05419,  0.27067,  0.04119,  1.28275,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1820.0,  3.31291,  -4.30838,  1297.80327,  0.0,  0.0,  62.3498,  8.11239,  0.0,  0.0,  0.0,  0.0,  0.0,  0.20103,  0.01198,  22.39593,  1.25654,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  3.94109,  0.2718,  0.0709,  1.38854,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1925.0,  3.29533,  -4.28932,  1315.24484,  0.0,  0.0,  62.40288,  8.05044,  0.0,  0.0,  0.0,  0.0,  0.0,  0.17969,  0.0105,  22.37809,  1.28156,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  3.83943,  0.27891,  0.10088,  1.47762,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2030.0,  3.2771,  -4.2687,  1334.75996,  0.0,  0.0,  62.47169,  7.99622,  0.0,  0.0,  0.0,  0.0,  0.0,  0.16139,  0.00943,  22.32314,  1.30444,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  3.75676,  0.28071,  0.14334,  1.55287,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2135.0,  3.25806,  -4.2462,  1356.95175,  0.0,  0.0,  62.55409,  7.94286,  0.0,  0.0,  0.0,  0.0,  0.0,  0.14199,  0.0083,  22.24433,  1.32582,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  3.66834,  0.28311,  0.19878,  1.63238,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2240.0,  3.23813,  -4.2213,  1382.71904,  0.0,  0.0,  62.66485,  7.89311,  0.0,  0.0,  0.0,  0.0,  0.0,  0.12524,  0.00732,  22.11458,  1.34398,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  3.58979,  0.28645,  0.27426,  1.70043,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2345.0,  3.2171,  -4.19328,  1413.37768,  0.0,  0.0,  62.78395,  7.85139,  0.0,  0.0,  0.0,  0.0,  0.0,  0.10727,  0.00614,  21.95796,  1.36023,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  3.5104,  0.28429,  0.36464,  1.77374,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
