#P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s, bad
1.0,1400.0,3.38265,-4.39961,1176.8658699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47827,0.17207,71.59081,21.66969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6696,1.16709,0.12832000000000002,1.12415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1490.0,3.37019,-4.38561,1186.38068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45819,0.157,71.62807,21.67389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5215300000000003,1.17222,0.12819,1.2609299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1580.0,3.3574,-4.37098,1196.2618300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44146,0.14470999999999998,71.65496,21.68121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4076400000000002,1.16814,0.12808,1.3738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1670.0,3.3442300000000005,-4.35562,1206.69029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42678999999999995,0.13524,71.67681,21.687829999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31693,1.1607,0.12797999999999998,1.4677200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1760.0,3.33065,-4.33937,1217.8605400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41373999999999994,0.12739,71.69573000000001,21.69355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23983,1.15285,0.12791,1.54901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1850.0,3.31661,-4.32207,1230.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40297,0.12050999999999999,71.70999,21.700110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1771,1.1437700000000002,0.12784,1.61771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1940.0,3.30209,-4.30347,1243.40049,0.0,0.0,0.03284,0.04204,0.0,0.0,0.0,0.0,0.0,0.39071,0.11391,71.64426999999999,21.677979999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11265,1.1307200000000002,0.16516,1.68972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2030.0,3.2869900000000003,-4.2833,1258.4184699999998,0.0,0.0,0.08421000000000001,0.09584,0.0,0.0,0.0,0.0,0.0,0.3787,0.10733,71.54720999999999,21.64234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04018,1.12647,0.21761,1.7601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2120.0,3.27124,-4.26114,1275.57856,0.0,0.0,0.15200999999999998,0.16182,0.0,0.0,0.0,0.0,0.0,0.36589,0.10182999999999999,71.41686999999999,21.59759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97274,1.11801,0.28435,1.8288799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2210.0,3.2547099999999998,-4.23639,1295.64549,0.0,0.0,0.23251999999999998,0.23155,0.0,0.0,0.0,0.0,0.0,0.35355,0.09659,71.26902,21.54531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90055,1.1171,0.3593,1.8945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2300.0,3.2372400000000003,-4.20801,1319.90341,0.0,0.0,0.33441,0.31154,0.0,0.0,0.0,0.0,0.0,0.34119,0.0915,71.08118,21.48634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83275,1.11192,0.45006,1.9591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2390.0,3.2186,-4.174169999999999,1350.71678,0.0,0.0,0.4684,0.40814,0.0,0.0,0.0,0.0,0.0,0.32646,0.08646000000000001,70.83814,21.4137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75841,1.1033600000000001,0.56514,2.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2480.0,3.19838,-4.13092,1393.29598,0.0,0.0,0.61331,0.51678,0.0,0.0,0.0,0.0,0.0,0.31239,0.08117,70.57253,21.32936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67772,1.10259,0.6916899999999999,2.10245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2570.0,3.17572,-4.06672,1463.8636,0.0,0.0,0.81771,0.62266,0.0,0.0,0.0,0.0,0.0,0.29562,0.07584,70.23174,21.24009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58859,1.0984,0.84654,2.18281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2660.0,3.14761,-3.91192,1680.2810399999998,0.0,0.0,1.02241,0.77523,0.0,0.0,0.0,0.0,0.0,0.27860999999999997,0.07011,69.8519,21.121489999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4940900000000004,1.09654,1.0248700000000002,2.26475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2750.0,3.17932,-4.048,1512.48934,2.75821,1.09606,19.846629999999998,29.00661,0.0,0.0,0.0,0.0,0.0,0.11664000000000001,0.048510000000000005,22.01168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32843,20.6681,2.1191299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2840.0,3.1503099999999997,-3.97077,1635.36942,1.59453,0.58914,22.733710000000002,29.47768,0.0,0.0,0.0,0.0,0.0,0.08957000000000001,0.03505,17.12255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12683,24.0155,2.21545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
