# P[bar], T[K], rho[g/cm3], log10(alpha)[1/K], cp[J/(kg*K)], c2/c, fc2/c, per, wus, aperov, perov, fperov, ab, an, sp, herc, fo, fa, wad, fwad, ring, fring, odi, en, fs, ts, jd, di, hed, cen, cts, cor, aki, faki, gr, alm, maj, py, jmaj, cmaj, fmaj, appv, ppv, fppv, mfer, ffer, nfer, ca-pv, cfs, ky, neph, coe, seif, q, s
1.0,  1400.0,  3.35039,  -4.35767,  1278.20782,  0.0,  0.0,  85.51449,  1.60421,  0.0,  0.0,  0.0,  0.0,  0.0,  0.44039,  0.00464,  3.25417,  0.02735,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.81016,  0.06675,  0.00954,  1.26832,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1505.0,  3.334,  -4.3427,  1292.51836,  0.0,  0.0,  85.34633,  1.58936,  0.0,  0.0,  0.0,  0.0,  0.0,  0.366,  0.00385,  3.52181,  0.0296,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.48588,  0.07619,  0.01905,  1.56194,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1610.0,  3.31726,  -4.32699,  1307.52818,  0.0,  0.0,  85.20269,  1.5848,  0.0,  0.0,  0.0,  0.0,  0.0,  0.30079,  0.00317,  3.73463,  0.03138,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  7.20928,  0.07619,  0.03809,  1.81899,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1715.0,  3.30016,  -4.31039,  1323.56837,  0.0,  0.0,  85.11276,  1.57319,  0.0,  0.0,  0.0,  0.0,  0.0,  0.24928,  0.00262,  3.87099,  0.03663,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.98986,  0.07629,  0.06675,  2.02162,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1820.0,  3.28258,  -4.29274,  1340.96734,  0.0,  0.0,  85.04126,  1.57093,  0.0,  0.0,  0.0,  0.0,  0.0,  0.20439,  0.00193,  3.96683,  0.03754,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.7968,  0.07648,  0.10515,  2.19868,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  1925.0,  3.26447,  -4.27383,  1360.14278,  0.0,  0.0,  85.00391,  1.56849,  0.0,  0.0,  0.0,  0.0,  0.0,  0.16792,  0.00159,  4.009,  0.03794,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.6397,  0.07676,  0.15352,  2.34117,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2030.0,  3.24569,  -4.2534,  1381.5888,  0.0,  0.0,  84.99114,  1.5664,  0.0,  0.0,  0.0,  0.0,  0.0,  0.13224,  0.00125,  4.00741,  0.03793,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.48455,  0.0772,  0.22194,  2.47995,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2135.0,  3.22617,  -4.23114,  1405.96951,  0.0,  0.0,  85.00599,  1.56497,  0.0,  0.0,  0.0,  0.0,  0.0,  0.10267,  0.00097,  3.96025,  0.03748,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.35448,  0.07773,  0.30121,  2.59426,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2240.0,  3.20576,  -4.20655,  1434.21791,  0.0,  0.0,  85.06414,  1.55586,  0.0,  0.0,  0.0,  0.0,  0.0,  0.07291,  0.00069,  3.84546,  0.04048,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.22143,  0.0785,  0.41215,  2.70838,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
1.0,  2345.0,  3.18432,  -4.17908,  1467.6496,  0.0,  0.0,  85.15676,  1.55587,  0.0,  0.0,  0.0,  0.0,  0.0,  0.04514,  0.00043,  3.65885,  0.03851,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  6.09452,  0.07954,  0.55676,  2.81362,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
